t;z;y;vz;vy;az;ay
2.386e-12;6.554780507291944e-6;1.0132806458347397e-9;6.937214591486417e6;940.9774697415543;1.2765017686690866e11;1.9732995408881817e7
2.3870000000000002e-12;6.56171772188343e-6;1.0142216233044813e-9;6.937214591614067e6;940.9774697612872;1.2738040952936916e11;1.9688741760287736e7
2.3880000000000003e-12;6.568654936475044e-6;1.0151626007742425e-9;6.937214591741447e6;940.977469780976;1.271114964514228e11;1.9644636318067692e7
2.389e-12;6.575592151066786e-6;1.0161035782440234e-9;6.937214591868559e6;940.9774698006206;1.2684343403001463e11;1.9600678423120856e7
2.39e-12;6.582529365658655e-6;1.017044555713824e-9;6.937214591995402e6;940.9774698202212;1.2657621868106575e11;1.9556867419996556e7
2.3910000000000002e-12;6.58946658025065e-6;1.0179855331836441e-9;6.937214592121978e6;940.9774698397781;1.2630984683935347e11;1.9513202656870093e7
2.3920000000000003e-12;6.5964037948427724e-6;1.018926510653484e-9;6.937214592248288e6;940.9774698592913;1.260443149583922e11;1.9469683485518713e7
2.393e-12;6.603341009435021e-6;1.0198674881233432e-9;6.937214592374332e6;940.977469878761;1.2577961951031573e11;1.9426309261297867e7
2.394e-12;6.610278224027395e-6;1.0208084655932219e-9;6.937214592500112e6;940.9774698981873;1.255157569857597e11;1.938307934311754e7
2.395e-12;6.617215438619895e-6;1.02174944306312e-9;6.937214592625628e6;940.9774699175704;1.2525272389374571e11;1.9339993093418863e7
2.3960000000000003e-12;6.624152653212521e-6;1.0226904205330376e-9;6.937214592750881e6;940.9774699369103;1.2499051676156552e11;1.929704987815082e7
2.397e-12;6.631089867805271e-6;1.0236313980029746e-9;6.937214592875872e6;940.9774699562074;1.2472913213466635e11;1.925424906674717e7
2.398e-12;6.638027082398147e-6;1.0245723754729308e-9;6.937214593000601e6;940.9774699754616;1.2446856657653735e11;1.921159003210353e7
2.399e-12;6.644964296991148e-6;1.0255133529429063e-9;6.9372145931250695e6;940.9774699946732;1.2420881666859673e11;1.9169072150554713e7
2.4000000000000003e-12;6.651901511584273e-6;1.026454330412901e-9;6.937214593249278e6;940.9774700138423;1.2394987901007913e11;1.9126694801852074e7
2.4010000000000004e-12;6.658838726177523e-6;1.027395307882915e-9;6.937214593373228e6;940.977470032969;1.2369175021792496e11;1.9084457369141232e7
2.402e-12;6.665775940770896e-6;1.028336285352948e-9;6.93721459349692e6;940.9774700520535;1.234344269266694e11;1.904235923893977e7
2.403e-12;6.672713155364393e-6;1.029277262823e-9;6.937214593620354e6;940.9774700710958;1.2317790578833286e11;1.9000399801115233e7
2.4040000000000003e-12;6.679650369958013e-6;1.030218240293071e-9;6.937214593743532e6;940.9774700900962;1.2292218347231216e11;1.8958578448863253e7
2.4050000000000004e-12;6.686587584551757e-6;1.031159217763161e-9;6.937214593866454e6;940.9774701090547;1.2266725666527237e11;1.8916894578685835e7
2.406e-12;6.693524799145623e-6;1.03210019523327e-9;6.937214593989122e6;940.9774701279716;1.224131220710395e11;1.8875347590369824e7
2.407e-12;6.700462013739612e-6;1.033041172703398e-9;6.937214594111535e6;940.9774701468469;1.2215977641049379e11;1.883393688696547e7
2.4080000000000002e-12;6.707399228333724e-6;1.0339821501735448e-9;6.9372145942336945e6;940.9774701656809;1.2190721642146411e11;1.8792661874765266e7
2.4090000000000003e-12;6.714336442927958e-6;1.0349231276437105e-9;6.937214594355602e6;940.9774701844735;1.2165543885862308e11;1.8751521963282906e7
2.41e-12;6.7212736575223135e-6;1.035864105113895e-9;6.937214594477258e6;940.977470203225;1.2140444049338232e11;1.8710516565232277e7
2.411e-12;6.7282108721167905e-6;1.0368050825840982e-9;6.937214594598662e6;940.9774702219355;1.211542181137896e11;1.8669645096506875e7
2.4120000000000002e-12;6.735148086711389e-6;1.0377460600543202e-9;6.937214594719816e6;940.9774702406052;1.2090476852442554e11;1.8628906976159062e7
2.4130000000000003e-12;6.742085301306109e-6;1.0386870375245608e-9;6.937214594840721e6;940.9774702592341;1.2065608854630179e11;1.8588301626379736e7
2.414e-12;6.74902251590095e-6;1.03962801499482e-9;6.937214594961377e6;940.9774702778224;1.2040817501675996e11;1.8547828472478043e7
2.415e-12;6.755959730495911e-6;1.0405689924650978e-9;6.937214595081785e6;940.9774702963701;1.2016102478937062e11;1.8507486942861184e7
2.4160000000000002e-12;6.762896945090993e-6;1.0415099699353942e-9;6.937214595201946e6;940.9774703148777;1.1991463473383385e11;1.8467276469014518e7
2.4170000000000003e-12;6.769834159686195e-6;1.042450947405709e-9;6.93721459532186e6;940.977470333345;1.1966900173587999e11;1.842719648548172e7
2.418e-12;6.776771374281517e-6;1.0433919248760425e-9;6.9372145954415295e6;940.9774703517721;1.1942412269717117e11;1.8387246429845072e7
2.419e-12;6.783708588876959e-6;1.0443329023463943e-9;6.937214595560954e6;940.9774703701594;1.191799945352037e11;1.8347425742705967e7
2.42e-12;6.79064580347252e-6;1.0452738798167646e-9;6.937214595680134e6;940.9774703885068;1.1893661418321095e11;1.830773386766551e7
2.4210000000000003e-12;6.7975830180682e-6;1.046214857287153e-9;6.937214595799071e6;940.9774704068146;1.1869397859006721e11;1.8268170251305297e7
2.4220000000000004e-12;6.804520232663999e-6;1.0471558347575599e-9;6.937214595917765e6;940.9774704250829;1.1845208472019194e11;1.8228734343168303e7
2.423e-12;6.8114574472599165e-6;1.048096812227985e-9;6.937214596036217e6;940.9774704433116;1.1821092955345479e11;1.8189425595739923e7
2.424e-12;6.818394661855953e-6;1.0490377896984282e-9;6.937214596154428e6;940.9774704615011;1.1797051008508136e11;1.815024346442919e7
2.4250000000000003e-12;6.825331876452107e-6;1.0499787671688896e-9;6.937214596272399e6;940.9774704796513;1.1773082332555988e11;1.8111187407550104e7
2.4260000000000004e-12;6.8322690910483796e-6;1.0509197446393692e-9;6.93721459639013e6;940.9774704977625;1.174918663005477e11;1.807225688630304e7
2.427e-12;6.83920630564477e-6;1.051860722109867e-9;6.937214596507622e6;940.9774705158347;1.1725363605077963e11;1.803345136475645e7
2.428e-12;6.846143520241277e-6;1.052801699580383e-9;6.937214596624875e6;940.9774705338682;1.1701612963197575e11;1.7994770309828497e7
2.4290000000000003e-12;6.853080734837902e-6;1.0537426770509167e-9;6.9372145967418915e6;940.977470551863;1.16779344114751e11;1.795621319126902e7
2.4300000000000003e-12;6.860017949434644e-6;1.0546836545214685e-9;6.937214596858671e6;940.9774705698193;1.1654327658452441e11;1.7917779481641505e7
2.431e-12;6.866955164031503e-6;1.0556246319920383e-9;6.937214596975214e6;940.977470587737;1.163079241414296e11;1.787946865630522e7
2.432e-12;6.873892378628478e-6;1.0565656094626261e-9;6.937214597091522e6;940.9774706056164;1.1607328390022577e11;1.7841280193397526e7
2.4330000000000002e-12;6.8808295932255695e-6;1.0575065869332317e-9;6.937214597207596e6;940.9774706234577;1.1583935299020908e11;1.780321357381623e7
2.4340000000000003e-12;6.887766807822777e-6;1.058447564403855e-9;6.937214597323435e6;940.977470641261;1.1560612855512509e11;1.776526828120217e7
2.435e-12;6.894704022420101e-6;1.0593885418744964e-9;6.937214597439041e6;940.9774706590263;1.1537360775308144e11;1.7727443801921874e7
2.436e-12;6.90164123701754e-6;1.0603295193451554e-9;6.9372145975544145e6;940.9774706767537;1.1514178775646121e11;1.7689739625050306e7
2.4370000000000002e-12;6.908578451615094e-6;1.061270496815832e-9;6.937214597669557e6;940.9774706944435;1.1491066575183711e11;1.7652155242353845e7
2.4380000000000003e-12;6.915515666212764e-6;1.0622114742865266e-9;6.937214597784467e6;940.9774707120956;1.1468023893988599e11;1.7614690148273267e7
2.439e-12;6.922452880810548e-6;1.0631524517572387e-9;6.937214597899147e6;940.9774707297103;1.1445050453530421e11;1.7577343839906987e7
2.44e-12;6.929390095408447e-6;1.0640934292279683e-9;6.937214598013598e6;940.9774707472876;1.1422145976672331e11;1.7540115816994254e7
2.441e-12;6.9363273100064605e-6;1.0650344066987155e-9;6.937214598127819e6;940.9774707648277;1.1399310187662657e11;1.7503005581898663e7
2.4420000000000003e-12;6.943264524604588e-6;1.0659753841694804e-9;6.937214598241812e6;940.9774707823307;1.1376542812126585e11;1.7466012639591612e7
2.443e-12;6.95020173920283e-6;1.0669163616402627e-9;6.937214598355577e6;940.9774707997967;1.1353843577057938e11;1.7429136497635994e7
2.444e-12;6.957138953801186e-6;1.0678573391110625e-9;6.937214598469116e6;940.9774708172258;1.1331212210810988e11;1.7392376666169986e7
2.445e-12;6.964076168399655e-6;1.0687983165818796e-9;6.937214598582428e6;940.9774708346182;1.13086484430923e11;1.7355732657890875e7
2.4460000000000003e-12;6.971013382998237e-6;1.0697392940527143e-9;6.937214598695515e6;940.977470851974;1.128615200495271e11;1.7319203988039155e7
2.4470000000000004e-12;6.977950597596932e-6;1.0706802715235662e-9;6.937214598808376e6;940.9774708692931;1.1263722628779265e11;1.728279017438256e7
2.448e-12;6.984887812195741e-6;1.0716212489944355e-9;6.937214598921013e6;940.9774708865759;1.1241360048287288e11;1.7246490737200383e7
2.449e-12;6.991825026794662e-6;1.072562226465322e-9;6.9372145990334265e6;940.9774709038225;1.1219063998512483e11;1.7210305199267797e7
2.4500000000000003e-12;6.998762241393695e-6;1.0735032039362259e-9;6.937214599145617e6;940.9774709210327;1.1196834215803055e11;1.7174233085840296e7
2.4510000000000004e-12;7.005699455992841e-6;1.0744441814071468e-9;6.937214599257586e6;940.9774709382069;1.117467043781195e11;1.713827392463833e7
2.452e-12;7.012636670592099e-6;1.075385158878085e-9;6.937214599369332e6;940.9774709553452;1.115257240348909e11;1.7102427245831955e7
2.453e-12;7.019573885191468e-6;1.0763261363490402e-9;6.937214599480858e6;940.9774709724477;1.1130539853073701e11;1.7066692582025666e7
2.4540000000000002e-12;7.026511099790949e-6;1.0772671138200126e-9;6.937214599592163e6;940.9774709895144;1.1108572528086664e11;1.703106946824326e7
2.4550000000000003e-12;7.0334483143905415e-6;1.0782080912910022e-9;6.937214599703249e6;940.9774710065454;1.1086670171322963e11;1.699555744191294e7
2.456e-12;7.040385528990245e-6;1.0791490687620088e-9;6.937214599814115e6;940.977471023541;1.1064832526844115e11;1.6960156042852346e7
2.457e-12;7.047322743590059e-6;1.0800900462330323e-9;6.937214599924764e6;940.9774710405012;1.1043059339970724e11;1.6924864813253853e7
2.4580000000000002e-12;7.054259958189984e-6;1.0810310237040727e-9;6.937214600035194e6;940.9774710574261;1.1021350357275053e11;1.688968329766991e7
2.4590000000000003e-12;7.061197172790019e-6;1.0819720011751302e-9;6.937214600145408e6;940.9774710743158;1.099970532657363e11;1.685461104299845e7
2.46e-12;7.068134387390164e-6;1.0829129786462045e-9;6.937214600255405e6;940.9774710911704;1.0978123996919957e11;1.681964759846851e7
2.461e-12;7.0750716019904196e-6;1.0838539561172957e-9;6.937214600365186e6;940.97747110799;1.0956606118597192e11;1.678479251562579e7
2.4620000000000002e-12;7.082008816590785e-6;1.0847949335884038e-9;6.9372146004747525e6;940.9774711247749;1.0935151443110963e11;1.6750045348318482e7
2.4630000000000003e-12;7.08894603119126e-6;1.0857359110595286e-9;6.937214600584104e6;940.9774711415249;1.0913759723182184e11;1.6715405652683124e7
2.464e-12;7.095883245791844e-6;1.0866768885306702e-9;6.937214600693242e6;940.9774711582403;1.0892430712739926e11;1.6680872987130536e7
2.465e-12;7.102820460392537e-6;1.0876178660018285e-9;6.937214600802166e6;940.9774711749212;1.0871164166914333e11;1.664644691233189e7
2.466e-12;7.10975767499334e-6;1.0885588434730034e-9;6.937214600910878e6;940.9774711915677;1.0849959842029604e11;1.6612126991204858e7
2.4670000000000003e-12;7.116694889594251e-6;1.089499820944195e-9;6.937214601019378e6;940.9774712081798;1.0828817495597018e11;1.6577912788899913e7
2.4680000000000004e-12;7.12363210419527e-6;1.0904407984154032e-9;6.937214601127666e6;940.9774712247578;1.0807736886307994e11;1.6543803872786637e7
2.469e-12;7.130569318796398e-6;1.091381775886628e-9;6.937214601235744e6;940.9774712413016;1.078671777402719e11;1.6509799812440183e7
