t;z;y;vz;vy;az;ay;KE;V
8.914000000000001e-15;8.002770856361791e-9;1.4634847255611884e-10;5.167448730185875e6;-74123.92226530542;2.782634760721044e21;-1.592410117034853e21;8.87373988918767e-14;7.785679140040155e-14
8.915e-15;8.007938305091976e-9;1.4627434863385354e-10;5.170231364946595e6;-75716.33238234028;2.2319361956540658e21;-1.1311650520422424e21;8.883376665914751e-14;7.77703599683973e-14
8.916e-15;8.013108536456924e-9;1.461986323014712e-10;5.172463301142249e6;-76847.49743438252;1.7839007028299089e21;-8.230141464513865e20;8.891103740857282e-14;7.770115193143444e-14
8.917e-15;8.018280999758066e-9;1.4612178480403683e-10;5.174247201845079e6;-77670.5115808339;1.4165672510312373e21;-6.132826092416567e20;8.897278499008266e-14;7.764598863578115e-14
8.918e-15;8.023455246959912e-9;1.46044114292456e-10;5.17566376909611e6;-78283.79419007555;1.110388485938558e21;-4.685926078260154e20;8.902181508602218e-14;7.760242068622366e-14
8.919e-15;8.028630910729007e-9;1.4596583049826591e-10;5.176774157582048e6;-78752.38679790156;8.495650904432834e20;-3.683071558123867e20;8.906025247010109e-14;7.756861177755652e-14
8.920000000000001e-15;8.033807684886589e-9;1.4588707811146802e-10;5.177623722672491e6;-79120.69395371396;6.216692312278633e20;-2.9951396811444086e20;8.908967281141614e-14;7.754321250959548e-14
8.921000000000001e-15;8.038985308609261e-9;1.458079574175143e-10;5.178245391903719e6;-79420.20792182839;4.1687690619606676e20;-2.54118002120597e20;8.911122058748935e-14;7.752525622869499e-14
8.922000000000001e-15;8.044163554001164e-9;1.4572853720959247e-10;5.178662268809915e6;-79674.32592394899;2.2721858466847634e20;-2.2716036389071854e20;8.91256999906864e-14;7.751408176712971e-14
8.923000000000001e-15;8.049342216269974e-9;1.4564886288366853e-10;5.178889487394583e6;-79901.48628783971;4.594255758203391e19;-2.1586080766568428e20;8.913363969434709e-14;7.750928024679578e-14
8.924e-15;8.054521105757369e-9;1.4556896139738068e-10;5.178935429952165e6;-80117.34709550539;-1.3301584613088913e20;-2.191085994020111e20;8.913533552081484e-14;7.751066195588364e-14
8.925e-15;8.05970004118732e-9;1.4548884405028517e-10;5.178802414106035e6;-80336.4556949074;-3.154934962786604e20;-2.3726065034574158e20;8.913087477731702e-14;7.751824013291892e-14
8.926e-15;8.064878843601427e-9;1.4540850759459026e-10;5.178486920609756e6;-80573.71634525314;-5.075246432149702e20;-2.721905868664549e20;8.912014483077417e-14;7.753222975584173e-14
8.927e-15;8.070057330522037e-9;1.45327933878245e-10;5.177979395966541e6;-80845.9069321196;-7.157639313141944e20;-3.2759661149119106e20;8.910282721331035e-14;7.755306061794226e-14
8.928e-15;8.075235309918003e-9;1.4524708797131287e-10;5.177263632035227e6;-81173.50354361079;-9.479253389285445e20;-4.0964033962586256e20;8.907837749249665e-14;7.758140480878214e-14
8.929000000000001e-15;8.080412573550039e-9;1.4516591446776927e-10;5.176315706696298e6;-81583.14388323665;-1.2132215947488838e21;-5.280719661740443e20;8.904599059805402e-14;7.761821875012508e-14
8.930000000000001e-15;8.085588889256735e-9;1.4508433132388604e-10;5.175102485101549e6;-82111.2158494107;-1.522702459092426e21;-6.98118715057073e20;8.900455197375837e-14;7.766479797779739e-14
8.931000000000001e-15;8.090763991741838e-9;1.4500222010803662e-10;5.173579782642457e6;-82809.33456446778;-1.8891696912108442e21;-9.435873316902934e20;8.895257867169899e-14;7.772283585502901e-14
