b;a
7.710861723446893e-12;1.893984897273119
7.670961923847695e-12;2.1907507738216547
7.631062124248497e-12;2.160841867486291
7.591162324649298e-12;2.142570208693579
7.5512625250501e-12;2.1782963511376443
7.511362725450901e-12;2.2525684870408837
7.471462925851703e-12;2.3270991106440944
7.431563126252504e-12;2.386093281022208
7.391663326653306e-12;2.433452395974192
7.351763527054108e-12;2.4665586584516346
7.31186372745491e-12;2.481334601436937
7.271963927855711e-12;2.481035830932827
7.232064128256513e-12;2.47311722317745
7.192164328657314e-12;2.467297515182816
7.152264529058116e-12;2.475894710507215
7.112364729458917e-12;2.5122859140141975
7.072464929859719e-12;2.564537897600606
7.03256513026052e-12;2.5681421327261442
6.992665330661322e-12;2.541347314299131
6.9527655310621235e-12;2.584676879374913
6.9128657314629255e-12;2.8402782706198373
6.8729659318637274e-12;2.7883601341979376
6.833066132264529e-12;2.965822025402305
6.7931663326653306e-12;2.8892578903241803
6.753266533066132e-12;2.910403960451161
6.713366733466934e-12;2.9337679436933173
6.673466933867735e-12;2.1960309149464368
6.633567134268537e-12;2.8962431429626116
6.593667334669338e-12;1.8239667070303942
6.55376753507014e-12;81.40853760649487
6.513867735470941e-12;-6.928069106087839
6.473967935871743e-12;9.790485738001818
6.434068136272544e-12;-57.580513480590334
6.394168336673346e-12;16.33532751285948
6.354268537074148e-12;-10.270942758510097
6.3143687374749495e-12;2.464975825823241
6.2744689378757515e-12;2.5979956800167816
6.234569138276553e-12;2.413676291211549
6.194669338677355e-12;-14.484544293108593
6.154769539078156e-12;2.5508304503179677
6.114869739478958e-12;58.8451806055351
6.074969939879759e-12;7.578644733463962
6.035070140280561e-12;6.232045187654696
5.995170340681362e-12;10.941627803411206
5.955270541082164e-12;-9.275578461330333
5.915370741482965e-12;69.7029348602468
5.875470941883767e-12;28.76441174668438
5.835571142284569e-12;75.45024995512425
5.79567134268537e-12;-67.17518722263746
5.755771543086172e-12;8.061798026177154
5.7158717434869735e-12;32.88806391914126
5.6759719438877755e-12;-21.728312306981515
5.636072144288577e-12;-29.977468655704236
5.596172344689379e-12;67.06307983073897
5.55627254509018e-12;11.657297537042236
5.516372745490982e-12;16.539483157674393
5.476472945891783e-12;0.32433827676493604
5.436573146292585e-12;2.161383702799951
5.396673346693386e-12;-61.895250306853505
5.356773547094188e-12;77.77199007031172
5.31687374749499e-12;-25.688655765627274
5.276973947895791e-12;77.35057483069862
5.237074148296593e-12;-51.23736862466281
5.197174348697394e-12;88.09223606278098
5.157274549098196e-12;19.73344067596778
5.1173747494989975e-12;-31.545439052004063
5.0774749498997995e-12;-61.24048462796758
5.037575150300601e-12;-27.422463309529554
4.997675350701403e-12;-30.95559245902168
4.957775551102204e-12;-66.66969774697311
4.917875751503006e-12;-76.55772494065296
4.877975951903807e-12;9.68007367913159
4.838076152304609e-12;-16.273147035127963
4.798176352705411e-12;-78.55906357975947
4.758276553106212e-12;-63.38601444913033
4.718376753507014e-12;25.532016301281537
4.678476953907815e-12;-4.8220327483686685
4.638577154308617e-12;13.28692575205712
